"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"內湖區","臺北市內湖區東湖路1~30號","商",1060720,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造",751128,128.1,3,2,2,"有","無",17300000,135051,"RPVPMLLJQHMFFCA28CA"
"中山區","臺北市中山區中山北路二段59巷31~60號","商",1060702,"土地1建物1車位0","十六層","十六層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",880928,44.85,1,1,1,"有","有",9700000,216276,"RPSRMLMJQHMFFCA28CA"
"中山區","臺北市中山區民生東路二段91~120號","商",1060719,"土地1建物1車位0","三層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",651206,73.18,2,1,1,"有","有",11000000,150314,"RPTQMLLJQHMFFCA18CA"
"內湖區","臺北市內湖區康寧路一段156巷32弄1~30號","住",1060625,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,66.45,2,2,1,"有","無",9360000,140858,"RPVQMLLJQHMFFCA38CA"
"內湖區","臺北市內湖區康寧路三段265巷31~60號","住",1060207,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750401,91.45,3,2,1,"有","無",11000000,120284,"RPXQMLLJQHMFFCA58CA"
"信義區","臺北市信義區莊敬路391巷2弄1~30號","住",1060717,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730306,102.44,3,2,2,"有","無",22500000,219641,"RPTOMLTLQHMFFDA09CA"
"信義區","臺北市信義區永吉路180巷48弄1~30號","住",1060610,"土地1建物1車位0","全","三層","透天厝","住家用","加強磚造",500401,79.89,3,2,1,"有","無",10000000,125172,"RPVNMLRKQHMFFDA88CA"
"松山區","臺北市松山區八德路三段106巷1~30號","住",1060520,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,88.94,4,2,1,"有","無",16000000,179897,"RPVNMLQKQHMFFDA78CA"
"松山區","臺北市松山區南京東路五段211~240號","其他",1060704,"土地1建物1車位0","十六層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",711110,88.07,3,2,2,"有","無",17500000,198706,"RPUNMLNLQHMFFDA48CA"
"松山區","臺北市松山區延壽街331~360號","住",1060713,"土地1建物1車位0","九層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980320,26.44,4,2,2,"有","有",4080000,154312,"RPROMLNJQHMFFDA08CA"
"松山區","臺北市松山區長安東路二段211~240號","商",1060621,"土地3建物1車位0","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,90.56,3,2,2,"有","有",16800000,185512,"RPUOMLMJQHMFFDA28CA"
"松山區","臺北市松山區民生東路五段69巷4弄1~30號","住",1060718,"土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",560614,159.98,3,2,3,"有","無",54000000,337542,"RPSNMLMJQHMFFDA97CA"
"中山區","臺北市中山區長安東路二段151~180號","商",1060602,"土地1建物1車位0","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1050411,83.54,0,0,0,"無","有",27000000,323198,"RPROMLNLQHMFFCA18CA"
"松山區","臺北市松山區健康路20巷1~30號","住",1060708,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740620,116.29,3,2,2,"有","有",25150000,216270,"RPSOMLTJQHMFFDA88DA"
"中山區","臺北市中山區中山北路二段59巷1~30號","商",1060629,"土地1建物1車位0","一層","十四層","店面(店鋪)","商業用","鋼筋混凝土造",880427,52.23,0,1,1,"有","有",9800000,187632,"RPRQMLRJQHMFFCA68DA"
